location_id,category,local_authority_code,csp_code,csp_name,boundary_vintage,boundary_basis,mapping_reason,force_code,force_name,period_start,period_end,count,population,population_period,population_rounding,published_rate_per_1000,force_count,force_unallocated_count,coverage,evidence_id,source_url,retrieval_date,source_cells,source_sha256,rate_per_1000,force_unallocated_percent,transformation,review_status,missing_reason
barnsley,violence_against_person,E08000016,E22000259,Barnsley,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000011,South Yorkshire,2025-04-01,2026-03-31,9210,251800,mid-2024,nearest 100,36.581006474162926,54042,641,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H307; Table C4!G307; Table C4!J307,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,36.577,1.186,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Research only; safety pending ASB and comparability review,
barnsley,sexual_offences,E08000016,E22000259,Barnsley,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000011,South Yorkshire,2025-04-01,2026-03-31,886,251800,mid-2024,nearest 100,3.5190848790562814,5705,389,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N307; Table C4!G307; Table C4!P307,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,3.519,6.819,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Research only; safety pending ASB and comparability review,
barnsley,asb,E08000016,E22000259,Barnsley,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,Research only; safety pending ASB and comparability review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
birmingham,violence_against_person,E08000025,E22000335,Birmingham,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000014,West Midlands,2025-04-01,2026-03-31,54628,1183600,mid-2024,nearest 100,46.153404223322049,120341,1301,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H389; Table C4!G389; Table C4!J389,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,46.154,1.081,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Research only; safety pending ASB and comparability review,
birmingham,sexual_offences,E08000025,E22000335,Birmingham,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000014,West Midlands,2025-04-01,2026-03-31,5734,1183600,mid-2024,nearest 100,4.8444684011226595,12069,233,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N389; Table C4!G389; Table C4!P389,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,4.845,1.931,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Research only; safety pending ASB and comparability review,
birmingham,asb,E08000025,E22000335,Birmingham,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,Research only; safety pending ASB and comparability review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
blackburn,violence_against_person,E06000008,E22000150,Blackburn with Darwen,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000003,Lancashire,2025-04-01,2026-03-31,5943,162500,mid-2024,nearest 100,36.563307493540051,56236,980,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H177; Table C4!G177; Table C4!J177,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,36.572,1.743,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Research only; safety pending ASB and comparability review,
blackburn,sexual_offences,E06000008,E22000150,Blackburn with Darwen,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000003,Lancashire,2025-04-01,2026-03-31,551,162500,mid-2024,nearest 100,3.3899347852836228,5950,183,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N177; Table C4!G177; Table C4!P177,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,3.391,3.076,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Research only; safety pending ASB and comparability review,
blackburn,asb,E06000008,E22000150,Blackburn with Darwen,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,,,,,,,,,,,,,,,,,,,,,Research only; safety pending ASB and comparability review,No verified compatible CSP ASB numerator acquired; ONS appendix D4/D5 are national totals
blackpool,violence_against_person,E06000009,E22000151,Blackpool,,ONS YE March 2026 C1/C2/C4; exact boundary vintage not stated,Source C2 LA name matches canonical localAuthority; CSP proxy for the place.,E23000003,Lancashire,2025-04-01,2026-03-31,9949,144200,mid-2024,nearest 100,68.998758591035511,56236,980,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H178; Table C4!G178; Table C4!J178,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,68.994,1.743,count / CSP population rounded to nearest 100 * 1000; rate rounded to 3 decimals,Research only; safety pending ASB and comparability review,
