id,workstream,title,publisher,url,dataPeriod,retrievalDate,geography,coverage,limitations
GC01,geography_crime,Places lookup,Postcodes.io,https://api.postcodes.io/places,Current lookup,2026-09-05,Named place centroids,63 supplied locations,Place-name matching is not a statutory boundary lookup; Torbay uses Torquay as a practical centre and Welsh Newport was explicitly queried as Casnewydd.
GC02,geography_crime,Nearest postcode lookup,Postcodes.io,https://api.postcodes.io/postcodes,Current lookup,2026-09-05,Nearest postcode within 2 km of place centroid,63 supplied locations,Local authority code and police-force-area label describe the centroid postcode; they are not evidence about all parts of the settlement.
GC03,geography_crime,Street-level crime API,Home Office / Police.uk,https://data.police.uk/api/crimes-street/all-crime,2025-08 to 2026-07,2026-09-05,Fixed one-mile radius around each place centroid,696 town-month observations used in the final 58-location indicator; all categories were downloaded once per place-month and the two required categories counted locally,"All locations except Bolton, Manchester, Salford, Stockport and Wigan"
GC04,geography_crime,Street-level crime API method,Home Office / Police.uk,https://data.police.uk/docs/method/crime-street/,Method current at retrieval,2026-09-05,Street-level anonymised crime points,Method documentation,Point results are anonymised and the one-mile centre circle is neither a settlement boundary nor population-normalised; centre footfall and density affect counts.
GC05,geography_crime,Crime data last-updated endpoint,Home Office / Police.uk,https://data.police.uk/api/crime-last-updated,Latest available month 2026-07,2026-09-05,England and Wales API,One metadata response,Confirms recency only; it does not establish complete coverage for every force.
GC06,geography_crime,Police.uk changelog,Home Office / Police.uk,https://data.police.uk/changelog/,Current at retrieval,2026-09-05,Force-level data availability,Greater Manchester Police coverage warning,Police.uk reports Greater Manchester Police crime data unavailable; sparse API point returns may be cross-force records and are not used as a safety indicator.
GC07,geography,Places lookup for Cheltenham,Postcodes.io,https://api.postcodes.io/places?q=Cheltenham,Current lookup,2026-09-07,Named place centroid,Cheltenham,The selected Town response identifies a practical broad-place centroid; it is not a statutory boundary lookup.
AFF-BUY-PPD-2024-26,affordability,"Price Paid Data yearly files (2024, 2025, 2026)",HM Land Registry,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads,Sales dated 2024-07-01 to 2026-06-30; downloaded from release updated 2026-08-28,2026-09-05,HMLR Town/City field; Torbay uses district field,All 63 locations; row-level counts are in affordability.json,All flat/maisonette sizes; no bedroom count. Standard category-A transactions only. Recent transactions may be incomplete because registration lags.
AFF-RENT-PIPR-2026-07,affordability,"Price Index of Private Rents, UK: monthly price statistics, 19 August 2026 edition",Office for National Statistics,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics,2026-07,2026-09-05,Local authorities in England and Wales,All 63 locations mapped to 63 local-authority proxies; observation counts not published in table,"Modelled mean for the entire private rental stock, not a median or new-let asking rent. Some local authorities are broader than named towns; latest months are provisional and lower-level estimates may be volatile."
MT-RM-SEARCH-20260905,market_thickness,Rightmove one-bedroom flat search-result snapshots,Rightmove,https://www.rightmove.co.uk/property-for-sale.html | https://www.rightmove.co.uk/property-to-rent.html,Snapshot 2026-09-05,2026-09-05,"Rightmove town/city REGION identifiers, recorded per JSON row",126 headline result counts: separate sale and rent queries for all 63 locations,Live advertised-stock snapshot; Rightmove-defined boundaries; counts may include duplicates and are not achieved transactions. No listing pages were opened or coded. Sale and rent exclusions differ as documented per row.
MT-RM-LOS-20260905,market_thickness,Rightmove location typeahead resolver,Rightmove,https://los.rightmove.co.uk/typeahead,Snapshot 2026-09-05,2026-09-05,Place-name resolution to Rightmove REGION identifiers,"All 63 supplied location names; corrected aliases for Burton-on-Trent, Stoke-on-Trent, Stockton-on-Tees, Kingston upon Hull and St Helens",Portal geographies are proprietary and may not match administrative boundaries; Merthyr Tydfil and Neath resolver labels contain anomalous historic-county wording and are low-confidence.
